abv,beer_name,brew_factory_name,id,style
750,tr_egs_nugget_nectar,tr_egs_brewing_company,0,american_amber_red_ale
520,fat_tire_amber_ale,new_belgium_brewing,1,american_amber_red_ale
440,levitation_ale,stone_brewing_co,2,american_amber_red_ale
810,green_flash_hop_head_red_ale,green_flash_brewing_co,3,american_amber_red_ale
600,tr_egs_hopback_amber_ale,tr_egs_brewing_company,4,american_amber_red_ale
620,flipside_red_ipa,sierra_nevada_brewing_co,5,american_amber_red_ale
675,censored,lagunitas_brewing_company,6,american_amber_red_ale
680,red_rocket_ale,bear_republic_brewing_co,7,american_amber_red_ale
800,great_lakes_nosferatu,great_lakes_brewing_co,8,american_amber_red_ale
780,lagunitas_imperial_red_ale,lagunitas_brewing_company,9,american_amber_red_ale
720,zoe,maine_beer_company,10,american_amber_red_ale
530,santa_s_private_reserve_ale,rogue_ales,11,american_amber_red_ale
865,lagunitas_lucky_13_mondo_large_red_ale,lagunitas_brewing_company,12,american_amber_red_ale
540,ruedrich_s_red_seal_ale,north_coast_brewing_co,13,american_amber_red_ale
580,boont_amber_ale,anderson_valley_brewing_company,14,american_amber_red_ale
530,american_amber_ale,rogue_ales,15,american_amber_red_ale
580,highland_gaelic_ale,highland_brewing,16,american_amber_red_ale
740,tocobaga_red_ale,cigar_city_brewing,17,american_amber_red_ale
550,calico_copper_amber_ale,ballast_point_brewing_company,18,american_amber_red_ale
440,avalanche_ale,breckenridge_brewery,19,american_amber_red_ale
700,cascazilla,ithaca_beer_company,20,american_amber_red_ale
550,full_sail_amber,full_sail_brewery_tasting_room_pub,21,american_amber_red_ale
510,st_rogue_red,rogue_ales,22,american_amber_red_ale
610,red_tail_ale,mendocino_brewing_company,23,american_amber_red_ale
610,prohibition_ale,speakeasy_ales_lagers,24,american_amber_red_ale
700,global_warmer,sixpoint_brewery,25,american_amber_red_ale
680,blazing_world,modern_times_beer,26,american_amber_red_ale
700,red_wheelbarrow,maine_beer_company,27,american_amber_red_ale
600,anchor_bigleaf_maple_autumn_red,anchor_brewing_company,28,american_amber_red_ale
1000,tongue_buckler_imperial_red_ale,ballast_point_brewing_company,29,american_amber_red_ale
600,red_hoptober,new_belgium_brewing,30,american_amber_red_ale
620,captain_sig_s_northwestern_ale,rogue_ales,31,american_amber_red_ale
500,five_am,brewdog,32,american_amber_red_ale
850,yulesmith_winter,alesmith_brewing_company,33,american_amber_red_ale
900,shark_attack_double_red_ale,port_brewing,34,american_amber_red_ale
500,switchback_ale,switchback_brewing_company,35,american_amber_red_ale
650,runoff_red_ipa,odell_brewing_company,36,american_amber_red_ale
540,red_nectar,humboldt_brewing_co,37,american_amber_red_ale
680,ambergeddon,ale_asylum,38,american_amber_red_ale
1030,terrapin_oaked_big_hoppy_monster,terrapin_beer_company,39,american_amber_red_ale
540,autumnfest,weyerbacher_brewing_co,40,american_amber_red_ale
666,alesmith_my_bloody_valentine,alesmith_brewing_company,41,american_amber_red_ale
750,kingpin_double_red_ale,bridgeport_brewing_co_brewpub,42,american_amber_red_ale
690,loakal_red,the_bruery,43,american_amber_red_ale
800,redoric_beer_camp_65_best_of_beer_camp_imperial_red_ale,sierra_nevada_brewing_co,44,american_amber_red_ale
580,redhook_copperhook,redhook_ale_brewery,45,american_amber_red_ale
550,duckrabbit_amber_ale,the_duckrabbit_craft_brewery,46,american_amber_red_ale
570,samuel_adams_mighty_oak_ale,boston_beer_company_samuel_adams,47,american_amber_red_ale
690,believer,ninkasi_brewing_company,48,american_amber_red_ale
570,mermaid_s_red_ale,coronado_brewing_company,49,american_amber_red_ale
650,jamaica_red_ale,mad_river_brewing_company,50,american_amber_red_ale
610,fistmas,revolution_brewing_company,51,american_amber_red_ale
550,saint_arnold_amber_ale,saint_arnold_brewing_company,52,american_amber_red_ale
850,pursuit_of_hoppiness,grand_teton_brewing_co,53,american_amber_red_ale
730,mourning_wood,local_option,54,american_amber_red_ale
590,blue_moon_valencia_amber_ale,coors_brewing_company,55,american_amber_red_ale
570,snowshoe_red_ale,new_glarus_brewing_company,56,american_amber_red_ale
650,blood_of_the_unicorn,pipeworks_brewing_company,57,american_amber_red_ale
666,alesmith_evil_dead_red,alesmith_brewing_company,58,american_amber_red_ale
525,new_holland_sundog_amber_ale,new_holland_brewing_company,59,american_amber_red_ale
530,cinder_cone_red,deschutes_brewery,60,american_amber_red_ale
550,dark_horse_amber_ale,dark_horse_brewing_company,61,american_amber_red_ale
570,laughing_skull_amber_ale,red_brick_brewing_company,62,american_amber_red_ale
500,drop_top_amber,widmer_brothers_brewing_company,63,american_amber_red_ale
590,hoppus_maximus,thirsty_dog_brewing_company,64,american_amber_red_ale
800,fascist_pig_ale,finch_s_beer_co,65,american_amber_red_ale
850,blood_shot_beer_camp_95,sierra_nevada_brewing_co,66,american_amber_red_ale
700,evil_twin_hop_flood,evil_twin_brewing,67,american_amber_red_ale
480,key_west_sunset_ale,florida_beer_company,68,american_amber_red_ale
550,alleycat_amber,lost_coast_brewery_and_cafe,69,american_amber_red_ale
520,african_amber,mac_and_jack_s_brewery,70,american_amber_red_ale
500,odell_levity_amber_ale,odell_brewing_company,71,american_amber_red_ale
650,big_red_coq,brewery_vivant,72,american_amber_red_ale
700,blue_point_winter_ale,blue_point_brewing_company,73,american_amber_red_ale
700,red_fish,flying_fish_brewing_company,74,american_amber_red_ale
530,red_banshee,the_fort_collins_brewery,75,american_amber_red_ale
520,green_lakes_organic_ale,deschutes_brewery,76,american_amber_red_ale
540,blue_moon_rising_moon_spring_ale,coors_brewing_company,77,american_amber_red_ale
680,evil_twin,heretic_brewing_company,78,american_amber_red_ale
490,buckshot_amber_ale,natty_greene_s_pub_brewing_co,79,american_amber_red_ale
550,hemp_hop_rye,ofallon_brewery,80,american_amber_red_ale
